,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
315029,id315029,2,2016-02-25 09:57:23,2016-02-25 10:06:41,3,-73.98231506347656,40.76825714111328,-73.98064422607422,40.78081512451172,N,558
1056133,id1056133,1,2016-06-07 12:12:44,2016-06-07 12:45:46,1,-73.97782135009766,40.78907012939453,-73.98048400878906,40.75045776367188,N,1982
1078749,id1078749,1,2016-04-26 15:19:42,2016-04-26 15:34:43,1,-73.99834442138672,40.75588607788085,-73.97923278808595,40.761634826660156,N,901
73010,id073010,2,2016-03-01 21:58:31,2016-03-01 22:07:38,5,-73.98786926269531,40.77001953125,-73.97064971923827,40.80007934570313,N,547
435958,id435958,2,2016-06-27 20:06:09,2016-06-27 20:13:49,1,-74.00540161132812,40.71828079223633,-73.99101257324219,40.745548248291016,N,460
223702,id223702,1,2016-01-26 16:57:46,2016-01-26 17:34:13,1,-74.00635528564453,40.73940658569336,-73.963623046875,40.77411651611328,N,2187
152887,id152887,2,2016-03-26 18:40:49,2016-03-26 18:43:39,1,-73.99371337890625,40.74245071411133,-73.98821258544923,40.73860168457031,N,170
789877,id789877,1,2016-03-10 10:14:23,2016-03-10 10:33:10,1,-73.97267150878906,40.78571701049805,-73.97025299072266,40.75933456420898,N,1127
261779,id261779,1,2016-01-29 12:26:33,2016-01-29 12:35:09,1,-73.97855377197266,40.75038146972656,-73.98863983154298,40.73674011230469,N,516
943787,id943787,1,2016-06-11 20:51:53,2016-06-11 21:06:49,1,-73.98712158203125,40.72229766845703,-73.98107147216798,40.68887710571289,N,896
316040,id316040,1,2016-05-17 14:12:39,2016-05-17 14:34:50,4,-73.98062896728516,40.76435089111328,-73.95773315429686,40.78223037719727,N,1331
1016594,id1016594,1,2016-06-11 13:49:31,2016-06-11 13:54:31,1,-73.9871826171875,40.776126861572266,-73.9924545288086,40.768081665039055,N,300
236388,id236388,2,2016-01-05 08:19:56,2016-01-05 08:24:55,1,-73.98319244384766,40.7551155090332,-73.97447204589844,40.76190185546875,N,299
7518,id007518,1,2016-01-25 10:36:25,2016-01-25 10:56:53,1,-73.96106719970702,40.780921936035156,-73.96823120117188,40.78691482543945,N,1228
551582,id551582,1,2016-04-28 12:41:18,2016-04-28 12:52:19,1,-74.01276397705078,40.70249938964844,-73.98710632324219,40.72240829467773,N,661
296825,id296825,1,2016-03-22 08:31:15,2016-03-22 08:48:20,1,-73.95571899414062,40.76772689819336,-73.97383117675781,40.75486373901367,N,1025
318282,id318282,2,2016-04-13 15:04:49,2016-04-13 15:12:16,2,-73.98223876953125,40.74338912963867,-73.98139190673827,40.7493896484375,N,447
10080,id010080,1,2016-01-12 19:53:15,2016-01-12 20:00:26,1,-73.97638702392578,40.75537109375,-73.96890258789062,40.758399963378906,N,431
1007330,id1007330,2,2016-03-05 10:07:39,2016-03-05 10:17:45,1,-73.98892974853516,40.77758026123047,-74.00337982177734,40.75556182861328,N,606
1072771,id1072771,1,2016-05-31 00:05:52,2016-05-31 00:16:14,2,-73.98515319824219,40.73227310180664,-73.98924255371094,40.75737380981445,N,622
446169,id446169,2,2016-02-07 10:17:39,2016-02-07 10:34:26,5,-73.97793579101562,40.75246810913085,-74.00173950195312,40.73754119873047,N,1007
434539,id434539,2,2016-06-09 11:09:11,2016-06-09 11:18:44,2,-73.9774169921875,40.75894165039063,-73.99275970458984,40.73728942871094,N,573
358695,id358695,2,2016-04-17 14:12:12,2016-04-17 14:20:37,6,-73.97379302978516,40.76359176635742,-73.98342895507811,40.74406051635742,N,505
760292,id760292,2,2016-04-21 23:39:21,2016-04-21 23:57:09,1,-73.87283325195312,40.774238586425774,-73.95665740966798,40.6862907409668,N,1068
256397,id256397,1,2016-01-14 14:16:16,2016-01-14 14:32:41,1,-73.98590087890625,40.77861022949219,-73.95256042480467,40.78960418701172,N,985
1124169,id1124169,1,2016-01-25 14:16:54,2016-01-25 14:35:07,1,-73.97457122802734,40.74246215820313,-73.98841857910156,40.74763488769531,N,1093
999514,id999514,1,2016-06-02 17:23:25,2016-06-02 17:37:13,1,-73.99115753173827,40.73249816894531,-74.00565338134766,40.72003173828125,N,828
829869,id829869,2,2016-02-06 10:54:53,2016-02-06 11:10:29,5,-73.98197174072266,40.74637985229492,-74.00489044189453,40.70600128173828,N,936
975680,id975680,1,2016-04-28 13:24:46,2016-04-28 13:39:59,2,-73.97665405273438,40.75608444213867,-73.99169921875,40.76838302612305,N,913
844002,id844002,2,2016-05-25 09:09:22,2016-05-25 09:25:07,2,-73.97926330566406,40.756046295166016,-74.00579071044923,40.74848937988281,N,945
666911,id666911,2,2016-01-09 18:12:53,2016-01-09 18:49:02,2,-73.99404907226562,40.751220703125,-73.9115219116211,40.72309112548828,N,2169
296491,id296491,1,2016-01-11 15:56:21,2016-01-11 16:04:13,2,-73.98741149902342,40.75909423828125,-74.00222778320312,40.75564193725585,N,472
89857,id089857,2,2016-04-29 18:57:19,2016-04-29 19:10:42,1,-73.98155975341797,40.75999069213867,-73.97439575195312,40.7508544921875,N,803
781110,id781110,2,2016-03-16 21:27:45,2016-03-16 21:35:24,1,-73.97965240478516,40.75529098510742,-73.99165344238281,40.764739990234375,N,459
814525,id814525,2,2016-04-25 15:48:54,2016-04-25 16:08:13,1,-74.00070953369139,40.73208618164063,-73.9675521850586,40.7658576965332,N,1159
226149,id226149,1,2016-01-20 20:15:00,2016-01-20 20:23:29,1,-73.97601318359375,40.75584030151367,-73.98812103271484,40.74911117553711,N,509
953599,id953599,2,2016-02-28 14:35:13,2016-02-28 14:43:55,1,-73.98251342773438,40.77695846557617,-73.98396301269531,40.75986099243164,N,522
371726,id371726,2,2016-05-21 13:44:39,2016-05-21 14:01:44,1,-74.0033187866211,40.748878479003906,-73.99970245361328,40.725601196289055,N,1025
974101,id974101,1,2016-01-19 13:06:51,2016-01-19 13:12:49,1,-74.008056640625,40.7403564453125,-74.00674438476562,40.74884414672852,N,358
94901,id094901,2,2016-01-09 22:34:38,2016-01-09 22:48:51,1,-74.0022964477539,40.74531173706055,-73.99767303466798,40.72079086303711,N,853
415623,id415623,1,2016-06-13 19:10:36,2016-06-13 19:28:07,1,-74.00180053710938,40.72439575195313,-73.98943328857422,40.77123641967773,N,1051
1050620,id1050620,2,2016-05-14 20:22:19,2016-05-14 20:30:02,3,-73.94200134277342,40.82284164428711,-73.94493865966798,40.80862045288085,N,463
176191,id176191,1,2016-04-13 12:44:09,2016-04-13 12:46:40,1,-73.97686767578125,40.7602424621582,-73.9803466796875,40.754150390625,N,151
521888,id521888,1,2016-05-25 08:14:42,2016-05-25 08:22:52,1,-73.95281219482422,40.76813888549805,-73.9632568359375,40.76926803588867,N,490
1182771,id1182771,1,2016-03-04 19:56:14,2016-03-04 20:01:08,1,-73.97453308105469,40.75059127807617,-73.96027374267578,40.77040481567383,N,294
833966,id833966,2,2016-06-26 23:22:46,2016-06-26 23:23:49,1,-73.98277282714845,40.77703094482422,-73.98018646240234,40.78020858764648,N,63
308630,id308630,2,2016-05-06 18:06:17,2016-05-06 18:21:19,4,-73.99059295654298,40.7511100769043,-73.96914672851562,40.75811004638672,N,902
906264,id906264,2,2016-02-08 20:21:52,2016-02-08 20:33:41,1,-73.97630310058595,40.75661849975585,-73.97711944580078,40.7911491394043,N,709
1120037,id1120037,1,2016-06-21 21:52:21,2016-06-21 21:58:56,1,-73.97286224365234,40.75901412963867,-73.97200775146483,40.75363159179688,N,395
451107,id451107,2,2016-05-28 22:59:32,2016-05-28 23:06:06,4,-74.00611877441406,40.73572540283203,-73.99620056152342,40.7362060546875,N,394
981467,id981467,2,2016-02-01 20:51:24,2016-02-01 20:58:20,1,-73.9505844116211,40.779541015625,-73.96138000488281,40.76192092895508,N,416
146060,id146060,2,2016-02-06 14:16:00,2016-02-06 14:28:45,1,-74.0053482055664,40.74602890014648,-73.98755645751955,40.7329216003418,N,765
1285614,id1285614,2,2016-06-01 21:45:18,2016-06-01 21:51:22,3,-73.97066497802734,40.794132232666016,-73.95521545410156,40.78609085083008,N,364
759862,id759862,2,2016-04-13 10:25:24,2016-04-13 10:47:31,1,-74.0042953491211,40.75252151489258,-73.9764175415039,40.7526969909668,N,1327
809964,id809964,1,2016-05-04 20:17:32,2016-05-04 20:24:45,1,-73.96609497070312,40.76202774047852,-73.97898864746094,40.76156997680664,N,433
859166,id859166,2,2016-06-02 19:24:57,2016-06-02 19:40:40,1,-73.97209167480467,40.75006103515625,-73.98544311523438,40.723575592041016,N,943
995934,id995934,2,2016-05-11 12:35:27,2016-05-11 12:41:03,1,-73.97967529296875,40.72718811035156,-73.99649047851562,40.73727798461913,N,336
874779,id874779,2,2016-06-18 13:19:41,2016-06-18 13:25:29,3,-73.95437622070312,40.778228759765625,-73.94486236572266,40.7789306640625,N,348
385865,id385865,2,2016-01-05 09:25:17,2016-01-05 09:49:41,2,-73.99025726318358,40.7563705444336,-73.97412109375,40.75019073486328,N,1464
67447,id067447,2,2016-06-30 11:58:48,2016-06-30 12:16:08,1,-73.97185516357422,40.75992202758789,-73.9672317504883,40.78800582885742,N,1040
1132851,id1132851,1,2016-03-04 17:41:44,2016-03-04 17:50:52,1,-73.98118591308595,40.77425384521485,-73.9734878540039,40.78536987304688,N,548
500412,id500412,1,2016-03-10 06:47:30,2016-03-10 07:02:53,1,-74.00357818603516,40.73250198364258,-73.97543334960938,40.76150512695313,N,923
251131,id251131,2,2016-02-19 12:39:38,2016-02-19 13:01:29,2,-73.9821014404297,40.764068603515625,-73.99008178710938,40.73794174194336,N,1311
1116343,id1116343,1,2016-06-16 18:14:38,2016-06-16 18:53:50,3,-73.9689712524414,40.785640716552734,-73.98495483398438,40.760566711425774,N,2352
1145626,id1145626,2,2016-04-21 10:46:57,2016-04-21 11:14:13,2,-73.97904968261719,40.72011947631836,-74.00636291503906,40.71928024291992,N,1636
947187,id947187,1,2016-02-05 23:26:37,2016-02-05 23:36:21,1,-73.98667907714845,40.718257904052734,-74.0023422241211,40.71895599365234,N,584
1167285,id1167285,2,2016-06-24 14:59:20,2016-06-24 15:02:59,1,-73.96843719482422,40.76155090332031,-73.97333526611328,40.75344848632813,N,219
1099901,id1099901,2,2016-01-02 17:25:19,2016-01-02 17:36:53,1,-73.98190307617188,40.7491569519043,-74.00167846679686,40.72770690917969,N,694
488320,id488320,2,2016-02-07 23:37:49,2016-02-07 23:53:06,1,-74.00489044189453,40.74177169799805,-73.99085235595702,40.750282287597656,N,917
777965,id777965,1,2016-06-12 11:19:15,2016-06-12 11:19:28,2,-73.93280792236328,40.751502990722656,-73.93285369873048,40.75151443481445,N,13
1004941,id1004941,2,2016-01-19 09:33:15,2016-01-19 09:45:26,6,-73.99269866943358,40.755218505859375,-73.98081970214844,40.759929656982415,N,731
943090,id943090,1,2016-05-26 23:59:10,2016-05-27 00:13:59,1,-73.9898681640625,40.747337341308594,-73.98736572265625,40.72911834716797,N,889
87328,id087328,1,2016-05-30 16:03:42,2016-05-30 16:17:06,2,-74.01148986816406,40.71060562133789,-73.9818801879883,40.75805282592773,N,804
282688,id282688,1,2016-02-23 11:29:20,2016-02-23 11:45:28,1,-74.00160217285155,40.746280670166016,-73.98858642578125,40.769287109375,N,968
143015,id143015,2,2016-01-10 20:44:02,2016-01-10 20:53:35,1,-74.00843048095702,40.72011184692383,-73.99545288085938,40.76213836669922,N,573
1056515,id1056515,2,2016-05-17 19:17:11,2016-05-17 19:36:21,5,-73.86344146728516,40.7701301574707,-73.94940948486328,40.78104019165039,N,1150
1222160,id1222160,2,2016-03-30 20:21:52,2016-03-30 20:43:36,1,-73.9903564453125,40.71883010864258,-73.99102020263672,40.766029357910156,N,1304
190887,id190887,2,2016-01-29 14:23:13,2016-01-29 14:29:59,1,-73.96266174316406,40.77883911132813,-73.98223114013672,40.775638580322266,N,406
1123565,id1123565,2,2016-04-25 21:20:02,2016-04-25 21:33:24,1,-73.994140625,40.751708984375,-73.99667358398438,40.72211837768555,N,802
391465,id391465,2,2016-06-21 05:53:46,2016-06-21 05:58:20,1,-73.98049926757811,40.7542381286621,-73.99115753173827,40.74225997924805,N,274
461433,id461433,2,2016-04-28 15:18:52,2016-04-28 15:26:30,4,-73.98944854736328,40.772815704345696,-73.9796371459961,40.789714813232415,N,458
57720,id057720,2,2016-05-03 18:48:03,2016-05-03 18:55:36,6,-73.95848083496094,40.75965118408203,-73.98001098632812,40.76562881469727,N,453
307922,id307922,1,2016-02-28 09:50:06,2016-02-28 09:53:27,1,-73.99778747558594,40.740966796875,-74.00550079345702,40.72709655761719,N,201
801314,id801314,2,2016-04-21 09:21:54,2016-04-21 09:45:28,6,-73.95262908935547,40.776649475097656,-74.002197265625,40.75558853149415,N,1414
1138258,id1138258,2,2016-05-12 12:18:40,2016-05-12 12:38:04,1,-73.99351501464844,40.75793075561523,-74.00407409667969,40.73305892944336,N,1164
1217191,id1217191,1,2016-04-07 22:47:38,2016-04-07 22:52:12,1,-73.9915313720703,40.744911193847656,-73.97921752929686,40.75310516357422,N,274
172403,id172403,1,2016-03-24 10:52:22,2016-03-24 11:00:46,1,-73.98828887939453,40.74958419799805,-73.97480773925781,40.75576400756836,N,504
416995,id416995,2,2016-01-16 21:15:55,2016-01-16 21:39:56,1,-73.99214935302734,40.72743225097656,-73.98270416259766,40.75577163696289,N,1441
138238,id138238,1,2016-01-30 02:12:19,2016-01-30 02:26:22,1,-74.00536346435547,40.741966247558594,-73.97228240966798,40.74734878540039,N,843
1289866,id1289866,1,2016-02-13 00:23:38,2016-02-13 00:34:26,1,-73.98818969726562,40.731895446777344,-73.95748901367188,40.765789031982415,N,648
196107,id196107,1,2016-05-08 23:04:19,2016-05-08 23:17:58,1,-73.95291137695312,40.78316879272461,-73.99417877197266,40.74533462524415,N,819
871004,id871004,2,2016-03-05 10:32:44,2016-03-05 10:35:53,1,-74.01626586914062,40.71075820922852,-74.01531219482422,40.70447540283203,N,189
1042561,id1042561,2,2016-04-15 23:44:58,2016-04-15 23:54:55,1,-73.99875640869139,40.7342185974121,-73.97759246826173,40.75175094604492,N,597
1066665,id1066665,1,2016-03-05 18:14:22,2016-03-05 18:34:43,4,-73.98501586914062,40.76024627685547,-74.0029296875,40.733264923095696,N,1221
1001556,id1001556,1,2016-05-09 10:47:27,2016-05-09 11:01:10,1,-73.95774841308594,40.78229141235352,-73.9818801879883,40.767799377441406,N,823
395568,id395568,1,2016-05-17 12:18:08,2016-05-17 12:36:41,1,-73.97943115234375,40.76472091674805,-73.98985290527344,40.75887680053711,N,1113
951711,id951711,2,2016-06-24 12:21:55,2016-06-24 12:46:57,1,-74.01726531982422,40.70499038696289,-74.0049285888672,40.71344375610352,N,1502
1222275,id1222275,2,2016-04-28 21:02:04,2016-04-28 21:13:42,5,-73.99595642089844,40.720359802246094,-73.98551940917969,40.73859024047852,N,698
212077,id212077,1,2016-06-24 16:20:54,2016-06-24 16:23:44,1,-73.9593048095703,40.80168151855469,-73.96627044677734,40.79469680786133,N,170
616757,id616757,1,2016-02-16 12:34:36,2016-02-16 12:38:48,2,-73.99385070800781,40.74081039428711,-73.98758697509766,40.73841857910156,N,252
236498,id236498,1,2016-02-20 11:58:16,2016-02-20 12:05:43,1,-73.9820327758789,40.74906539916992,-73.99466705322266,40.7636604309082,N,447
1272827,id1272827,2,2016-04-04 21:16:08,2016-04-04 21:23:44,6,-73.97120666503906,40.7546501159668,-73.98744201660156,40.7599983215332,N,456
791394,id791394,2,2016-04-27 14:30:40,2016-04-27 14:51:06,1,-73.9797134399414,40.781158447265625,-73.9632797241211,40.76861953735352,N,1226
145364,id145364,2,2016-03-14 07:33:02,2016-03-14 07:50:15,3,-73.99163055419923,40.744155883789055,-73.97441864013672,40.78832626342773,N,1033
1131475,id1131475,1,2016-05-14 15:47:04,2016-05-14 16:09:30,1,-73.95451354980467,40.82124328613281,-73.9799270629883,40.77790832519531,N,1346
612070,id612070,2,2016-06-03 14:57:32,2016-06-03 15:09:17,1,-73.98681640625,40.73952865600585,-73.97773742675781,40.75474166870117,N,705
13671,id013671,1,2016-04-23 11:35:11,2016-04-23 11:39:09,1,-73.99752044677734,40.74498748779297,-74.00435638427734,40.74613571166992,N,238
39491,id039491,1,2016-03-30 18:55:39,2016-03-30 19:14:33,1,-74.00832366943358,40.73755645751953,-73.98139953613281,40.768802642822266,N,1134
1183380,id1183380,1,2016-06-24 05:38:37,2016-06-24 05:43:24,1,-73.99662017822266,40.73737335205078,-73.98714447021484,40.758766174316406,N,287
418815,id418815,2,2016-05-19 22:28:38,2016-05-19 22:37:10,3,-73.9526138305664,40.77581787109375,-73.9713363647461,40.76520538330078,N,512
85863,id085863,2,2016-01-22 08:11:08,2016-01-22 08:20:01,1,-74.0056915283203,40.73812103271485,-74.01377868652342,40.71463012695313,N,533
866378,id866378,1,2016-01-16 09:47:18,2016-01-16 09:58:06,1,-73.87091827392578,40.77374267578125,-73.9173355102539,40.77373123168945,N,648
608300,id608300,1,2016-06-13 13:16:39,2016-06-13 13:30:10,3,-73.97956848144531,40.78179550170898,-73.94149780273438,40.83931350708008,N,811
297908,id297908,2,2016-04-03 01:56:44,2016-04-03 02:03:27,1,-73.98342895507811,40.73443603515625,-73.97298431396483,40.74352645874024,N,403
1013166,id1013166,1,2016-02-14 17:19:49,2016-02-14 17:29:59,1,-73.97398376464845,40.74740982055664,-73.9535598754883,40.77619552612305,N,610
1268395,id1268395,2,2016-04-09 09:37:23,2016-04-09 09:41:40,5,-73.97355651855469,40.78711700439453,-73.96949005126955,40.79018020629883,N,257
255457,id255457,1,2016-05-07 23:29:01,2016-05-07 23:40:08,1,-73.97826385498048,40.7780876159668,-73.95539093017578,40.80027770996094,N,667
1262055,id1262055,2,2016-03-19 10:42:10,2016-03-19 10:52:31,2,-73.93790435791014,40.80376052856445,-73.95761108398438,40.77010726928711,N,621
525214,id525214,2,2016-01-02 22:01:44,2016-01-02 22:13:26,1,-74.00183868408203,40.72473907470703,-73.98043823242188,40.74245834350585,N,702
483121,id483121,1,2016-02-14 00:53:06,2016-02-14 01:01:45,1,-73.98915100097656,40.73431015014648,-73.97809600830078,40.72143173217773,N,519
1225446,id1225446,2,2016-06-02 23:07:48,2016-06-02 23:26:46,1,-73.9542236328125,40.7642936706543,-73.97349548339844,40.74810028076172,N,1138
188415,id188415,2,2016-01-10 21:04:28,2016-01-10 21:11:04,2,-73.9818801879883,40.7283935546875,-73.99576568603516,40.72339630126953,N,396
176163,id176163,2,2016-05-05 10:10:59,2016-05-05 10:15:41,3,-73.98226165771484,40.77153015136719,-73.98187255859375,40.76595306396485,N,282
161726,id161726,1,2016-05-19 12:24:57,2016-05-19 12:41:18,1,-73.98947143554686,40.7587890625,-73.99056243896483,40.7404899597168,N,981
90170,id090170,1,2016-06-18 19:48:19,2016-06-18 19:59:22,3,-74.00719451904298,40.74155807495117,-74.0092544555664,40.71688461303711,N,663
748711,id748711,2,2016-03-26 01:34:04,2016-03-26 01:45:16,1,-73.98133850097656,40.72491836547852,-73.955810546875,40.76810836791992,N,672
377812,id377812,1,2016-06-09 09:29:09,2016-06-09 09:39:32,1,-73.9926223754883,40.72543716430664,-74.00070190429686,40.715198516845696,N,623
381243,id381243,2,2016-03-17 15:55:49,2016-03-17 16:02:48,1,-73.98599243164062,40.7674217224121,-73.99302673339844,40.75792694091797,N,419
412228,id412228,2,2016-02-08 09:43:23,2016-02-08 09:51:35,1,-73.99009704589844,40.75662231445313,-73.98162841796875,40.76451110839844,N,492
746614,id746614,2,2016-04-26 06:02:11,2016-04-26 06:06:42,2,-73.96630859375,40.7648811340332,-73.95556640625,40.76582336425781,N,271
1163261,id1163261,2,2016-04-19 20:25:49,2016-04-19 20:33:41,5,-73.98979949951173,40.733711242675774,-73.99597930908203,40.7263069152832,N,472
718980,id718980,2,2016-03-11 10:56:17,2016-03-11 11:15:07,1,-73.9867172241211,40.72227096557617,-73.87375640869139,40.77267074584961,N,1130
453113,id453113,2,2016-06-09 08:57:49,2016-06-09 09:03:59,1,-73.97891998291014,40.7239990234375,-73.98802947998048,40.71899032592773,N,370
176916,id176916,1,2016-01-11 19:00:03,2016-01-11 19:04:37,1,-73.95571899414062,40.77919006347656,-73.95577239990234,40.78478622436523,N,274
764779,id764779,1,2016-06-15 10:35:03,2016-06-15 10:58:15,1,-73.98065948486328,40.725887298583984,-73.95429992675781,40.76619338989258,N,1392
347526,id347526,2,2016-05-29 00:24:15,2016-05-29 00:29:26,4,-73.92256164550781,40.70644760131836,-73.93423461914062,40.6983757019043,N,311
118045,id118045,2,2016-02-06 19:31:20,2016-02-06 19:37:04,3,-73.9820785522461,40.7310791015625,-73.98368835449219,40.72161102294922,N,344
222827,id222827,2,2016-06-29 14:15:12,2016-06-29 15:16:25,1,-73.8727035522461,40.77397918701172,-73.97319793701173,40.76351165771485,N,3673
616498,id616498,1,2016-03-25 18:44:11,2016-03-25 18:59:49,4,-73.97383117675781,40.76324081420898,-73.98782348632812,40.74406433105469,N,938
1103906,id1103906,2,2016-04-01 22:17:21,2016-04-01 22:26:02,2,-73.9815673828125,40.76871109008789,-73.95333099365234,40.78680038452149,N,521
246919,id246919,2,2016-05-30 19:30:47,2016-05-30 19:50:29,6,-73.97418212890625,40.782981872558594,-73.93080139160156,40.76131057739258,N,1182
822356,id822356,2,2016-03-12 15:01:54,2016-03-12 15:23:19,6,-74.00164794921875,40.75645065307617,-73.9535598754883,40.76737976074219,N,1285
1239799,id1239799,2,2016-01-02 12:56:32,2016-01-02 12:59:34,1,-73.99463653564453,40.72476577758789,-73.9896926879883,40.7294921875,N,182
1252722,id1252722,1,2016-05-02 17:32:59,2016-05-02 17:46:59,1,-73.98258209228516,40.765567779541016,-73.95616912841797,40.77369689941406,N,840
1229351,id1229351,2,2016-06-30 10:13:48,2016-06-30 10:22:51,1,-73.9532699584961,40.785789489746094,-73.96085357666014,40.772369384765625,N,543
722137,id722137,2,2016-02-08 09:02:34,2016-02-08 09:05:50,6,-73.96849822998048,40.75511169433594,-73.97115325927734,40.75110244750977,N,196
596333,id596333,2,2016-03-16 19:09:22,2016-03-16 19:20:56,1,-73.96363830566406,40.76671981811523,-73.98238372802734,40.7735710144043,N,694
1222828,id1222828,2,2016-01-12 08:25:02,2016-01-12 08:33:55,1,-73.95072174072266,40.77930068969727,-73.960693359375,40.7658576965332,N,533
1143486,id1143486,1,2016-02-26 17:33:54,2016-02-26 17:47:28,1,-73.96058654785155,40.76475524902344,-73.98213958740234,40.74834442138672,N,814
963358,id963358,2,2016-04-18 07:19:00,2016-04-18 07:40:30,2,-73.98770141601562,40.77517318725585,-73.99556732177734,40.71034240722656,N,1290
1306910,id1306910,2,2016-02-05 18:14:28,2016-02-05 18:58:47,1,-73.98358154296875,40.761756896972656,-73.95809936523438,40.721717834472656,N,2659
210025,id210025,2,2016-04-20 11:33:10,2016-04-20 11:48:24,1,-73.98586273193358,40.76401138305664,-73.96633148193358,40.77220916748047,N,914
395794,id395794,1,2016-05-01 11:38:55,2016-05-01 11:43:25,1,-73.98029327392578,40.78053665161133,-73.98296356201173,40.77166366577149,N,270
1207162,id1207162,2,2016-02-13 23:45:44,2016-02-13 23:59:54,1,-73.96914672851562,40.75790023803711,-73.99940490722656,40.74899673461913,N,850
656371,id656371,1,2016-01-17 18:25:03,2016-01-17 18:37:48,2,-74.00018310546875,40.73035049438477,-73.98123168945312,40.72500991821289,Y,765
1309826,id1309826,1,2016-06-12 08:12:07,2016-06-12 08:19:48,1,-73.99332427978516,40.747371673583984,-73.98188781738281,40.77846145629883,N,461
1211693,id1211693,1,2016-06-26 19:13:52,2016-06-26 19:27:56,1,-73.98904418945312,40.7582893371582,-73.97401428222656,40.78899765014648,Y,844
966886,id966886,2,2016-05-24 10:27:03,2016-05-24 10:39:20,1,-73.98182678222656,40.77015686035156,-73.98623657226562,40.75709915161133,N,737
788755,id788755,2,2016-03-28 10:53:54,2016-03-28 11:14:48,2,-73.99195861816406,40.74995040893555,-73.97447967529298,40.75166320800781,N,1254
360343,id360343,2,2016-01-06 20:10:07,2016-01-06 20:32:42,1,-74.00677490234375,40.7303123474121,-73.96237182617188,40.76749038696289,N,1355
589569,id589569,1,2016-03-12 22:09:15,2016-03-12 22:17:20,1,-73.99671936035155,40.73751831054688,-73.98748779296875,40.75035858154297,N,485
1172050,id1172050,2,2016-01-29 18:52:57,2016-01-29 19:09:23,1,-73.96985626220702,40.753231048583984,-73.99286651611328,40.74612808227539,N,986
991245,id991245,2,2016-03-01 22:17:25,2016-03-01 22:22:27,2,-73.98405456542969,40.7547264099121,-73.98626708984375,40.76024627685547,N,302
58072,id058072,1,2016-06-22 20:40:37,2016-06-22 20:58:03,1,-73.99169158935547,40.754371643066406,-73.946044921875,40.77709579467773,N,1046
742342,id742342,2,2016-05-04 10:51:44,2016-05-04 11:51:34,1,-73.87081146240234,40.7736930847168,-73.98368072509766,40.75710678100585,N,3590
199398,id199398,2,2016-03-17 14:12:30,2016-03-17 14:16:21,2,-73.97539520263672,40.7522087097168,-73.9770278930664,40.74363327026367,N,231
885388,id885388,2,2016-04-05 17:40:40,2016-04-05 17:52:23,1,-73.96249389648438,40.771461486816406,-73.97545623779298,40.76551055908203,N,703
1257096,id1257096,2,2016-02-26 19:38:20,2016-02-26 19:49:25,1,-73.99137115478516,40.750221252441406,-74.0054931640625,40.72184753417969,N,665
